Geo_FIPS,Geo_QNAME,Geo_NAME,TOTAL POP_DEMOGRAPHICS,WHITE_POP,BLACK_POP,AMERICAN INDIAN_POP,ASIAN_POP,NATIVE HAWAIIAN-POP,OTHER_POP,TWO RACES _POP,TOTAL NUMBER HOUSEHOLD_INCOME,<10K,10-15K,15-20K,20-25K,25-30K,30-35K,35-40K,40-45K,45-50K,50-60K,60-75K,75-99K,100-125K,125-150K,150-200K,>200K,MEDIAN HOUSEHOLD_INCOME,OWNER HOUSEHOLD_MEDIAN INCOME,RENTER HOUSEHOLD_MEDIAN INCOME,TOTAL HOUSING UNITS ,OWNER HOUSING UNITS,RENTER HOUSING UNITS,WHITE OWNER HOUSING UNITS,NON WHITE OWNER HOUSING UNITS,MEDIAN HOUSE VALUE (OWNER),,OTHER ,"Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Second Mortgage Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Home Equity Loan Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Both Second Mortgage and Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: No Second Mortgage and No Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Home Equity Loan Without A Primary Mortgage",Owner-Occupied Housing Units: Housing Units Without a Mortgage,1 PERSON HOUSEHOLD,2 PERSON HOUSEHOLD,3 PERSON HOUSEHOLD,4 PERSON HOUSEHOLD,5 PERSON HOUSEHOLD,6 PERSON HOUSEHOLD,7 OR MORE PERSON HOUSEHOLD
25017300100,"Census Tract 3001, Middlesex County, Massachusetts",Census Tract 3001,3188,3025,0,0,14,0,0,149,1264,0,29,35,10,0,62,10,27,33,58,112,114,305,91,146,232,110536,111875,52708,1308,1191,117,1128,63,362200,,,847,117,5,112,0,675,55,344,235,567,204,148,68,42,0
25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",Census Tract 3011.01,4057,3319,235,0,274,0,48,181,1563,108,52,64,58,31,22,9,28,43,83,121,143,96,191,190,324,107604,130000,27961,1585,1178,407,1075,103,399200,,,841,167,16,151,0,656,18,337,373,599,174,242,134,16,25
25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",Census Tract 3011.02,4995,4675,36,0,25,0,54,205,1873,116,8,17,16,42,34,32,28,52,57,145,198,259,123,440,306,122942,126635,67721,1899,1707,192,1642,65,387600,,,1154,263,64,199,8,873,10,553,379,614,425,233,174,34,14
25017310101,"Census Tract 3101.01, Middlesex County, Massachusetts",Census Tract 3101.01,3805,2480,439,0,222,0,299,365,1777,76,94,194,85,77,12,39,85,107,60,211,173,111,150,205,98,66377,76768,48125,1867,498,1369,384,114,313300,,,417,0,0,0,0,417,0,81,766,594,220,173,24,0,0
25017310102,"Census Tract 3101.02, Middlesex County, Massachusetts",Census Tract 3101.02,2750,1741,201,0,236,0,187,385,1416,105,191,136,21,80,62,74,8,34,118,76,130,67,124,80,110,49531,150000,34773,1436,228,1208,182,46,371300,,,173,16,0,16,0,157,0,55,672,474,100,121,27,22,0
25017310200,"Census Tract 3102, Middlesex County, Massachusetts",Census Tract 3102,6597,3345,1344,0,778,5,815,310,2224,103,205,63,50,12,73,120,48,43,150,274,194,516,118,120,135,74386,109619,39694,2288,1245,1043,582,663,499700,,,807,7,0,7,0,800,0,438,612,340,407,624,154,66,21
25017310300,"Census Tract 3103, Middlesex County, Massachusetts",Census Tract 3103,6563,3791,738,0,928,0,311,795,2473,240,34,34,119,49,163,14,94,148,164,453,263,370,102,176,50,68071,69416,54470,2506,1233,1273,679,554,323500,,,958,44,16,28,13,901,0,275,670,723,476,342,129,129,4
25017310400,"Census Tract 3104, Middlesex County, Massachusetts",Census Tract 3104,3823,1874,591,0,162,81,268,847,1180,88,112,71,29,84,70,53,32,16,95,151,161,48,69,78,23,54038,69464,34650,1234,455,779,192,263,331500,,,299,39,12,27,0,260,0,156,219,231,158,281,193,62,36
25017310500,"Census Tract 3105, Middlesex County, Massachusetts",Census Tract 3105,3703,2349,220,0,409,0,198,527,1420,38,153,31,0,27,0,65,14,50,34,287,173,198,220,71,59,75410,104853,68438,1464,496,968,311,185,326700,,,361,24,0,24,0,337,0,135,377,485,127,305,72,54,0
25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",Census Tract 3106.01,5688,4171,398,0,257,0,529,333,2042,44,100,98,22,22,10,108,19,56,223,266,238,105,324,207,200,75872,126213,61964,2116,1397,719,1028,369,413200,,,1063,66,0,66,0,919,78,334,539,592,433,296,44,52,86
