Geo_FIPS,Geo_QNAME,Geo_NAME,CENSUS_NUM,CITY_NAME ,TOTAL POP_DEMOGRAPHICS,PROP_POP WHITE,PROP_POP BLACK,PROP_POP ASIAN,PROP_POP AMERICAN INDIAN,PROP_POP NATIVE HAWAIIAN,WHITE_POP,BLACK_POP,AMERICAN INDIAN_POP,ASIAN_POP,NATIVE HAWAIIAN-POP,OTHER_POP,TWO RACES _POP,TOTAL NUMBER HOUSEHOLD_INCOME,PROP_<100K,PROP_>100K,<10K,10-15K,15-20K,20-25K,25-30K,30-35K,35-40K,40-45K,45-50K,50-60K,60-75K,75-99K,100-125K,125-150K,150-200K,>200K,MEDIAN HOUSEHOLD_INCOME,OWNER HOUSEHOLD_MEDIAN INCOME,RENTER HOUSEHOLD_MEDIAN INCOME,TOTAL HOUSING UNITS ,OWNER HOUSING UNITS,RENTER HOUSING UNITS,OWNER_RATE,RENTER_RATE,WHITE OWNER_RATE,NON_WHITE OWNER RATE,WHITE OWNER HOUSING UNITS,NON WHITE OWNER HOUSING UNITS,MEDIAN HOUSE VALUE (OWNER),,OTHER ,"Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Second Mortgage Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Home Equity Loan Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Both Second Mortgage and Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: No Second Mortgage and No Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Home Equity Loan Without A Primary Mortgage",Owner-Occupied Housing Units: Housing Units Without a Mortgage,1 PERSON HOUSEHOLD,2 PERSON HOUSEHOLD,3 PERSON HOUSEHOLD,4 PERSON HOUSEHOLD,5 PERSON HOUSEHOLD,6 PERSON HOUSEHOLD,7 OR MORE PERSON HOUSEHOLD
25017300100,"Census Tract 3001, Middlesex County, Massachusetts",Census Tract 3001,3001,ASHBY,3188,0.948870765,0,0.004391468,0,0,3025,0,0,14,0,0,149,1264,0.387658228,0.612341772,0,29,35,10,0,62,10,27,33,58,112,114,305,91,146,232,110536,111875,52708,1308,1191,117,0.910550459,0.089449541,0.947103275,0.052896725,1128,63,362200,,,847,117,5,112,0,675,55,344,235,567,204,148,68,42,0
25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",Census Tract 3011.01,3011.01,TOWNSEND,4057,0.818092186,0.057924575,0.067537589,0,0,3319,235,0,274,0,48,181,1563,0.487523992,0.512476008,108,52,64,58,31,22,9,28,43,83,121,143,96,191,190,324,107604,130000,27961,1585,1178,407,0.743217666,0.256782334,0.912563667,0.087436333,1075,103,399200,,,841,167,16,151,0,656,18,337,373,599,174,242,134,16,25
25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",Census Tract 3011.02,3011.02,TOWNSEND,4995,0.935935936,0.007207207,0.005005005,0,0,4675,36,0,25,0,54,205,1873,0.397757608,0.602242392,116,8,17,16,42,34,32,28,52,57,145,198,259,123,440,306,122942,126635,67721,1899,1707,192,0.898894155,0.101105845,0.9619215,0.0380785,1642,65,387600,,,1154,263,64,199,8,873,10,553,379,614,425,233,174,34,14
25017310101,"Census Tract 3101.01, Middlesex County, Massachusetts",Census Tract 3101.01,3101.01,LOWELL,3805,0.651773982,0.115374507,0.058344284,0,0,2480,439,0,222,0,299,365,1777,0.682611142,0.317388858,76,94,194,85,77,12,39,85,107,60,211,173,111,150,205,98,66377,76768,48125,1867,498,1369,0.266738082,0.733261918,0.771084337,0.228915663,384,114,313300,,,417,0,0,0,0,417,0,81,766,594,220,173,24,0,0
25017310102,"Census Tract 3101.02, Middlesex County, Massachusetts",Census Tract 3101.02,3101.02,LOWELL,2750,0.633090909,0.073090909,0.085818182,0,0,1741,201,0,236,0,187,385,1416,0.730932203,0.269067797,105,191,136,21,80,62,74,8,34,118,76,130,67,124,80,110,49531,150000,34773,1436,228,1208,0.158774373,0.841225627,0.798245614,0.201754386,182,46,371300,,,173,16,0,16,0,157,0,55,672,474,100,121,27,22,0
25017310200,"Census Tract 3102, Middlesex County, Massachusetts",Census Tract 3102,3102,LOWELL,6597,0.507048658,0.203728968,0.117932394,0,0.00075792,3345,1344,0,778,5,815,310,2224,0.600269784,0.399730216,103,205,63,50,12,73,120,48,43,150,274,194,516,118,120,135,74386,109619,39694,2288,1245,1043,0.544143357,0.455856643,0.46746988,0.53253012,582,663,499700,,,807,7,0,7,0,800,0,438,612,340,407,624,154,66,21
25017310300,"Census Tract 3103, Middlesex County, Massachusetts",Census Tract 3103,3103,LOWELL,6563,0.57763218,0.112448575,0.141398751,0,0,3791,738,0,928,0,311,795,2473,0.717751719,0.282248281,240,34,34,119,49,163,14,94,148,164,453,263,370,102,176,50,68071,69416,54470,2506,1233,1273,0.492019154,0.507980846,0.550689376,0.449310624,679,554,323500,,,958,44,16,28,13,901,0,275,670,723,476,342,129,129,4
25017310400,"Census Tract 3104, Middlesex County, Massachusetts",Census Tract 3104,3104,LOWELL,3823,0.49019095,0.154590636,0.042375098,0,0.021187549,1874,591,0,162,81,268,847,1180,0.815254237,0.184745763,88,112,71,29,84,70,53,32,16,95,151,161,48,69,78,23,54038,69464,34650,1234,455,779,0.368719611,0.631280389,0.421978022,0.578021978,192,263,331500,,,299,39,12,27,0,260,0,156,219,231,158,281,193,62,36
25017310500,"Census Tract 3105, Middlesex County, Massachusetts",Census Tract 3105,3105,LOWELL,3703,0.634350527,0.059411288,0.110450986,0,0,2349,220,0,409,0,198,527,1420,0.614084507,0.385915493,38,153,31,0,27,0,65,14,50,34,287,173,198,220,71,59,75410,104853,68438,1464,496,968,0.338797814,0.661202186,0.627016129,0.372983871,311,185,326700,,,361,24,0,24,0,337,0,135,377,485,127,305,72,54,0
25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",Census Tract 3106.01,3106.01,LOWELL,5688,0.733298172,0.069971871,0.045182841,0,0,4171,398,0,257,0,529,333,2042,0.590597453,0.409402547,44,100,98,22,22,10,108,19,56,223,266,238,105,324,207,200,75872,126213,61964,2116,1397,719,0.66020794,0.33979206,0.735862563,0.264137437,1028,369,413200,,,1063,66,0,66,0,919,78,334,539,592,433,296,44,52,86
