YEAR,Category,Value
1920,Total,0.37
1930,Total,0.47
1940,Total,0.41
1950,Total,
1960,Total,0.72
1970,Total,0.59
1980,Total,0.58
1990,Total,0.60
2000,Total,0.62
2010,Total,0.62
1920,White,
1930,White,0.47
1940,White,0.41
1950,White,
1960,White,0.76
1970,White,
1980,White,0.59
1990,White,0.62
2000,White,0.65
2010,White,0.67
2020,White,
1920,Black,
1930,Black,0.36
1940,Black,0.30
1950,Black,
1960,Black,0.05
1970,Black,
1980,Black,0.30
1990,Black,0.25
2000,Black or African American,0.29
2010,Black,0.29
1920,Asian and Pacific Islander,
1930,Asian and Pacific Islander,
1940,Asian and Pacific Islander,
1950,Asian and Pacific Islander,
1960,Asian and Pacific Islander,
1970,Asian and Pacific Islander,
1980,Asian and Pacific Islander,0.48
1990,Asian and Pacific Islander,0.43
2000,Asian,0.45
2010,Asian and Pacific Islander,0.52
1920,American Indian,
1930,American Indian,
1940,American Indian,
1950,American Indian,
1960,American Indian,
1970,American Indian,
1980,"American Indian, Eskimo, Aleut",0.36
1990,"American Indian,Eskimo, Aleut",0.40
2000,American Indian and Alaska Native,0.36
2010,American Indian and Alaska Native,0.38
2020,American Indian and Alaska Native,
1920,Native Hawaiian and Other Pacific Islander ,
1930,Native Hawaiian and Other Pacific Islander ,
1940,Native Hawaiian and Other Pacific Islander ,
1950,Native Hawaiian and Other Pacific Islander ,
1960,Native Hawaiian and Other Pacific Islander ,
1970,Native Hawaiian and Other Pacific Islander ,
1980,Native Hawaiian and Other Pacific Islander ,
1990,Native Hawaiian and Other Pacific Islander ,
2000,Native Hawaiian and Other Pacific Islander ,0.45
2010,Native Hawaiian and Other Pacific Islander ,0.29
