YEAR,category,value
1920,White,767987
1930,White,924332
1940,White,961786
1950,White,1053982
1960,White,1222632
1970,White,1341072
1980,White,1313206
1990,White,1287412
2000,White,1258476
2010,White,1202411
2020,White,1112445
1920,Black,9953
1930,Black,10042
1940,Black,9183
1960,Black,13066
1970,Black,16265
1980,Black,25358
1990,Black,40236
2000,Black,49310
2010,Black,70021
2020,Black,84670
1920,Other Race,412
1930,Other Race,0
1940,Other Race,421
1950,Other Race,10587
1960,Other Race,553
1970,Other Race,7776
1980,Other Race,11180
1990,Other Race,17061
2000,Other Race,30379
2010,Other Race,49410
2020,Other Race,85566
1920,"Indian, Chinese, Japanese or Other Race ",
1930,"Indian, Chinese, Japanese or Other Race ",550
1940,"Indian, Chinese, Japanese or Other Race ",
1950,"Indian, Chinese, Japanese or Other Race ",
1960,"Indian, Chinese, Japanese or Other Race ",14441
1970,"Indian, Chinese, Japanese or Other Race ",
1980,"Indian, Chinese, Japanese or Other Race ",
1990,"Indian, Chinese, Japanese or Other Race ",
2000,"Indian, Chinese, Japanese or Other Race ",
2010,"Indian, Chinese, Japanese or Other Race ",
2020,"Indian, Chinese, Japanese or Other Race ",
1920,"American Indian, Eskimo, and Aleut",
1930,"American Indian, Eskimo, and Aleut",
1940,"American Indian, Eskimo, and Aleut",
1950,"American Indian, Eskimo, and Aleut",
1960,"American Indian, Eskimo, and Aleut",
1970,"American Indian, Eskimo, and Aleut",
1980,"American Indian, Eskimo, and Aleut",1255
1990,"American Indian, Eskimo, and Aleut",1933
2000,"American Indian, Eskimo, and Aleut",2206
2010,"American Indian, Eskimo, and Aleut",2571
2020,"American Indian, Eskimo, and Aleut",3676
1920,Asian and Pacific Islander,
1930,Asian and Pacific Islander,
1940,Asian and Pacific Islander,
1950,Asian and Pacific Islander,
1960,Asian and Pacific Islander,
1970,Asian and Pacific Islander,
1980,Asian and Pacific Islander,16035
1990,Asian and Pacific Islander,51826
2000,Asian and Pacific Islander,92225
2010,Asian and Pacific Islander,140430
2020,Asian and Pacific Islander,210906
1920,Two or more races ,
1930,Two or more races ,
1940,Two or more races ,
1950,Two or more races ,
1960,Two or more races ,
1970,Two or more races ,
1980,Two or more races ,
1990,Two or more races ,
2000,Two or more races ,
2010,Two or more races ,38242
2020,Two or more races ,134739
